rank,word,frequency,zipf
770,felt,0.000135,5.13
771,green,0.000135,5.13
772,league,0.000135,5.13
773,management,0.000135,5.13
774,match,0.000135,5.13
775,model,0.000135,5.13
776,p,0.000135,5.13
777,picture,0.000135,5.13
778,size,0.000135,5.13
779,step,0.000135,5.13
780,trust,0.000135,5.13
781,you've,0.000135,5.13
782,central,0.000132,5.12
783,changes,0.000132,5.12
784,england,0.000132,5.12
785,forward,0.000132,5.12
786,groups,0.000132,5.12
787,hey,0.000132,5.12
788,key,0.000132,5.12
789,mom,0.000132,5.12
790,o,0.000132,5.12
791,page,0.000132,5.12
792,paid,0.000132,5.12
793,range,0.000132,5.12
794,review,0.000132,5.12
795,science,0.000132,5.12
796,trade,0.000132,5.12
797,uk,0.000132,5.12
798,upon,0.000132,5.12
799,various,0.000132,5.12
800,attention,0.000129,5.11
801,brother,0.000129,5.11
802,cannot,0.000129,5.11
803,character,0.000129,5.11
804,chief,0.000129,5.11
805,cup,0.000129,5.11
806,football,0.000129,5.11
807,hate,0.000129,5.11
808,haven't,0.000129,5.11
809,james,0.000129,5.11
810,led,0.000129,5.11
811,looked,0.000129,5.11
812,lower,0.000129,5.11
813,natural,0.000129,5.11
814,october,0.000129,5.11
815,property,0.000129,5.11
816,quality,0.000129,5.11
817,send,0.000129,5.11
818,style,0.000129,5.11
819,u,0.000129,5.11
820,vote,0.000129,5.11
821,amazing,0.000126,5.1
822,august,0.000126,5.1
823,blood,0.000126,5.1
824,china,0.000126,5.1
825,complete,0.000126,5.1
826,dog,0.000126,5.1
827,economic,0.000126,5.1
828,hell,0.000126,5.1
829,involved,0.000126,5.1
830,itself,0.000126,5.1
831,language,0.000126,5.1
832,lord,0.000126,5.1
833,november,0.000126,5.1
834,oil,0.000126,5.1
835,related,0.000126,5.1
836,serious,0.000126,5.1
837,stage,0.000126,5.1
838,terms,0.000126,5.1
839,title,0.000126,5.1
840,add,0.000123,5.09
841,article,0.000123,5.09
842,attack,0.000123,5.09
843,born,0.000123,5.09
844,couldn't,0.000123,5.09
845,damn,0.000123,5.09
846,decided,0.000123,5.09
847,decision,0.000123,5.09
848,enjoy,0.000123,5.09
849,entire,0.000123,5.09
850,french,0.000123,5.09
851,january,0.000123,5.09
852,kill,0.000123,5.09
853,met,0.000123,5.09
854,perhaps,0.000123,5.09
855,poor,0.000123,5.09
856,release,0.000123,5.09
857,situation,0.000123,5.09
858,technology,0.000123,5.09
859,turned,0.000123,5.09
860,website,0.000123,5.09
861,written,0.000123,5.09
862,choice,0.00012,5.08
863,code,0.00012,5.08
864,considered,0.00012,5.08
865,continue,0.00012,5.08
866,council,0.00012,5.08
867,cover,0.00012,5.08
868,currently,0.00012,5.08
869,door,0.00012,5.08
870,election,0.00012,5.08
871,european,0.00012,5.08
872,events,0.00012,5.08
873,f,0.00012,5.08
874,financial,0.00012,5.08
875,foreign,0.00012,5.08
876,hair,0.00012,5.08
877,increase,0.00012,5.08
878,legal,0.00012,5.08
879,lose,0.00012,5.08
880,michael,0.00012,5.08
881,pick,0.00012,5.08
882,race,0.00012,5.08
883,seem,0.00012,5.08
884,seven,0.00012,5.08
885,sign,0.00012,5.08
886,simple,0.00012,5.08
887,simply,0.00012,5.08
888,staff,0.00012,5.08
889,super,0.00012,5.08
890,union,0.00012,5.08
891,walk,0.00012,5.08
892,washington,0.00012,5.08
893,bed,0.000117,5.07
894,began,0.000117,5.07
895,built,0.000117,5.07
896,career,0.000117,5.07
897,changed,0.000117,5.07
898,crazy,0.000117,5.07
899,daily,0.000117,5.07
900,daughter,0.000117,5.07
901,december,0.000117,5.07
902,die,0.000117,5.07
903,difficult,0.000117,5.07
904,figure,0.000117,5.07
905,hospital,0.000117,5.07
906,knows,0.000117,5.07
907,loss,0.000117,5.07
908,modern,0.000117,5.07
909,ones,0.000117,5.07
910,paper,0.000117,5.07
911,parts,0.000117,5.07
912,popular,0.000117,5.07
913,published,0.000117,5.07
914,safe,0.000117,5.07
915,starting,0.000117,5.07
916,systems,0.000117,5.07
917,version,0.000117,5.07
918,voice,0.000117,5.07
919,whose,0.000117,5.07
920,writing,0.000117,5.07
921,army,0.000115,5.06
922,australia,0.000115,5.06
