learning_rank,word,wf_rank,wf_pct,wf_zipf,sub_rank,sub_pct,sub_zipf,ox_cefr,ox_pos,learning_score
5178,asshole,3998,0.04,4.34,1352,0.13,4.75,,,0.019848
5179,employee,2989,0.06,4.5,4135,0.03,4.13,B2,noun,0.019872
5180,picks,4786,0.03,4.24,5950,0.02,3.91,,,0.019873
5181,toxic,4807,0.03,4.24,6006,0.02,3.91,B2,adjective,0.019873
5182,account,616,0.3,5.21,1439,0.12,4.72,B1,"noun, verb",0.019877
5183,doug,6896,0.02,4.02,2722,0.05,4.37,,,0.019889
5184,resolve,5449,0.03,4.17,6668,0.02,3.85,B1,verb,0.0199
5185,counseling,8404,0.01,3.89,9488,0.01,3.61,,,0.019911
5186,liable,8450,0.01,3.89,9431,0.01,3.61,,,0.019911
5187,examined,6048,0.02,4.1,7220,0.01,3.79,,,0.019919
5188,megan,9781,0.01,3.79,4340,0.03,4.1,,,0.019919
5189,boss,1785,0.11,4.76,553,0.41,5.26,A2,noun,0.01992
5190,commands,7544,0.02,3.96,8688,0.01,3.67,,,0.019925
5191,breathing,4429,0.04,4.28,1539,0.11,4.68,,,0.01993
5192,charming,6341,0.02,4.07,2472,0.06,4.43,B2,adjective,0.019931
5193,rivers,4326,0.04,4.3,5510,0.02,3.96,,,0.019933
5194,ruled,4328,0.04,4.3,5541,0.02,3.96,,,0.019933
5195,rebecca,7601,0.02,3.96,3042,0.04,4.3,,,0.019933
5196,tomorrow,1032,0.2,5.02,306,0.86,5.58,A1,"adverb, noun",0.019936
5197,add,840,0.23,5.09,1717,0.09,4.62,A1,verb,0.01994
5198,form,489,0.38,5.31,1236,0.14,4.8,B1,"noun, verb",0.019958
5199,korean,3072,0.06,4.49,4178,0.03,4.12,,,0.019964
5200,explaining,4856,0.03,4.23,6124,0.02,3.9,,,0.019971
5201,switzerland,4902,0.03,4.23,6072,0.02,3.9,,,0.019971
5202,trips,4905,0.03,4.23,6048,0.02,3.9,,,0.019971
5203,behaviour,3864,0.04,4.36,5077,0.02,4.01,,,0.019984
5204,paperwork,9078,0.01,3.84,3941,0.03,4.16,B2,noun,0.02
5205,unable,2469,0.08,4.61,3544,0.04,4.22,B1,adjective,0.020008
5206,screen,1501,0.13,4.85,2496,0.06,4.42,B2,"noun, verb",0.020016
5207,ferguson,8538,0.01,3.88,9664,0.01,3.6,,,0.020018
5208,stretched,8613,0.01,3.88,9542,0.01,3.6,,,0.020018
5209,tenants,8616,0.01,3.88,9681,0.01,3.6,,,0.020018
5210,affairs,2141,0.09,4.67,3204,0.04,4.27,,,0.020019
5211,musicians,6167,0.02,4.09,7314,0.01,3.78,,,0.02002
5212,drawer,9880,0.01,3.78,4429,0.03,4.09,A2,noun,0.02002
5213,stab,9965,0.01,3.78,4478,0.03,4.09,B2,verb,0.02002
5214,stress,1923,0.1,4.73,2953,0.05,4.32,B2,"noun, verb",0.020024
5215,murdered,4174,0.04,4.32,1425,0.12,4.73,,,0.020024
5216,targets,4417,0.04,4.29,5648,0.02,3.95,,,0.02003
5217,mainland,7712,0.02,3.95,8740,0.01,3.66,,,0.02003
5218,purse,7727,0.02,3.95,3082,0.04,4.29,B1,noun,0.02003
5219,center,649,0.29,5.19,1507,0.11,4.7,,,0.020038
5220,legitimate,4959,0.03,4.22,6206,0.02,3.89,B2,adjective,0.020069
5221,cable,2776,0.06,4.54,3917,0.03,4.16,B2,noun,0.020082
5222,barrier,5574,0.03,4.15,6775,0.02,3.83,B2,noun,0.0201
5223,violation,5647,0.03,4.15,6808,0.02,3.83,,,0.0201
5224,dessert,9163,0.01,3.83,3962,0.03,4.15,A2,noun,0.0201
5225,classic,1931,0.1,4.72,2976,0.05,4.31,B2,"adjective, noun",0.020113
5226,toward,1970,0.1,4.72,2990,0.05,4.31,,,0.020113
5227,training,684,0.28,5.18,1514,0.11,4.69,A2,noun,0.02012
5228,seeds,4486,0.04,4.28,5679,0.02,3.94,,,0.020128
5229,england,784,0.25,5.12,1655,0.1,4.64,,,0.020156
5230,ladies,2301,0.08,4.64,674,0.3,5.12,,,0.020156
5231,shows,597,0.32,5.23,1403,0.12,4.73,,,0.020161
5232,japan,1369,0.14,4.89,2355,0.06,4.45,,,0.020175
5233,instance,2540,0.07,4.59,3607,0.04,4.2,B1,noun,0.02019
5234,matches,2543,0.07,4.59,3635,0.04,4.2,,,0.02019
5235,typical,2562,0.07,4.59,3642,0.04,4.2,B1,adjective,0.02019
5236,ingredients,5693,0.03,4.14,6960,0.01,3.82,,,0.020202
5237,signing,3654,0.05,4.4,4869,0.02,4.04,,,0.020215
5238,thee,6748,0.02,4.04,2561,0.06,4.4,,,0.020215
5239,cleveland,4511,0.03,4.27,5802,0.02,3.93,,,0.020226
5240,quest,4551,0.03,4.27,5763,0.02,3.93,,,0.020226
5241,low,468,0.4,5.33,1203,0.15,4.81,A2,"adjective, adverb",0.02023
5242,lowered,8817,0.01,3.86,9946,0.01,3.58,,,0.020234
5243,property,815,0.24,5.11,1686,0.1,4.63,B1,noun,0.020239
5244,smell,3086,0.06,4.49,948,0.2,4.94,B1,"noun, verb",0.020242
5245,arise,7882,0.02,3.93,9070,0.01,3.64,B1,verb,0.020243
5246,jerusalem,5138,0.03,4.2,6436,0.02,3.87,,,0.020269
5247,maya,8690,0.01,3.87,3632,0.04,4.2,,,0.020269
5248,rubbish,8723,0.01,3.87,3659,0.04,4.2,B1,noun,0.020269
5249,random,2590,0.07,4.58,3692,0.03,4.19,,,0.020283
5250,bullet,4741,0.03,4.24,1661,0.1,4.64,B1,noun,0.020291
5251,temper,9551,0.01,3.81,4164,0.03,4.13,B1,noun,0.020303
5252,handling,3696,0.05,4.39,4893,0.02,4.03,,,0.020311
5253,hail,8042,0.02,3.92,3251,0.04,4.26,B2,verb,0.020325
5254,randy,8078,0.02,3.92,3259,0.04,4.26,,,0.020325
