word,cefr,pos,voice_url
constraint,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconstraint__us_1.ogg
consultation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconsultation__us_1.ogg
contemplate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcont/xcontemplate__us_1.ogg
contend,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcont/xcontend__us_1.ogg
contender,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcont/xcontender__us_1.ogg
contention,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcont/xcontention__us_1.ogg
contractor,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcont/xcontractor__us_2.ogg
contributor,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcont/xcontributor__us_1.ogg
convict,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconv/xconvict__us_1.ogg
conviction,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconv/xconviction__us_1.ogg
convincing,B2,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconv/xconvincing__us_1.ogg
coordinate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coo/coord/coordinate__us_1.ogg
coordination,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coo/coord/coordination__us_1.ogg
coordinator,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coo/coord/coordinator__us_1.ogg
correlate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cor/corre/correlate__us_1_rr.ogg
correlation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cor/corre/correlation__us_1_rr.ogg
councillor,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cou/counc/councillor__us_2_rr.ogg
counselling,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cou/couns/counselling__us_1_rr.ogg
counsellor,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cou/couns/counsellor__us_2_rr.ogg
counterpart,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cou/count/counterpart__us_1.ogg
coup,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cou/coup_/coup__us_1.ogg
coverage,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cov/cover/coverage__us_2_rr.ogg
covered,B1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cov/cover/covered__us_3.ogg
credibility,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cre/credi/credibility__us_1.ogg
credible,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cre/credi/credible__us_1.ogg
creep,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cre/creep/creep__us_1.ogg
criterion,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cri/crite/criterion__us_2.ogg
criticize,B2,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cri/criti/criticize__us_3.ogg
critique,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cri/criti/critique__us_1.ogg
crude,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cru/crude/crude__us_1.ogg
crystal,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cry/cryst/crystal__us_1.ogg
cue,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cue/cue__/cue__us_1.ogg
cult,C1,"adjective, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cul/cult_/cult__us_1.ogg
curved,B2,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cur/curve/curved__us_1.ogg
custody,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cus/custo/custody__us_1.ogg
cutting,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cut/cutti/cutting__us_1.ogg
cynical,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cyn/cynic/cynical__us_1.ogg
dairy,B2,"adjective, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dai/dairy/dairy__us_1.ogg
damaging,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dam/damag/damaging__us_1.ogg
debut,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/deb/debut/debut__us_1_rr.ogg
decision-making,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dec/decis/decision_making_1_us_1.ogg
dedicated,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/ded/dedic/dedicated__us_1.ogg
default,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/def/defau/default__us_1.ogg
defect,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/def/defec/defect__us_1_rr.ogg
defence,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/def/defen/defence__us_12.ogg
defensive,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/def/defen/defensive__us_1.ogg
delegation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/del/deleg/delegation__us_1.ogg
demon,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dem/demon/demon__us_1.ogg
denial,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/den/denia/denial__us_1.ogg
denounce,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/den/denou/denounce__us_2.ogg
density,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/den/densi/density__us_1.ogg
dependence,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dep/depen/dependence__us_1.ogg
depict,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dep/depic/depict__us_1.ogg
deploy,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dep/deplo/deploy__us_1.ogg
deployment,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dep/deplo/deployment__us_1.ogg
descent,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/des/desce/descent__us_1.ogg
designate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/des/desig/designate__us_1.ogg
detain,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/det/detai/detain__us_1.ogg
detection,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/det/detec/detection__us_1.ogg
detention,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/det/deten/detention__us_1.ogg
deteriorate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/det/deter/deteriorate__us_1.ogg
devise,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dev/devis/devise__us_1.ogg
diagnose,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dia/diagn/diagnose__us_1_rr.ogg
diagnosis,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dia/diagn/diagnosis__us_1.ogg
dialogue,A1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dia/dialo/dialogue__us_1_rr.ogg
dictate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dic/dicta/dictate__us_1.ogg
differentiate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/d/dif/diffe/differentiate__us_1.ogg
