word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
appreciate,A2,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appre/appreciate__us_1.ogg
appreciation,B1,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appre/appreciation__us_1.ogg
appropriate,A2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appro/appropriate__us_1.ogg
approval,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appro/approval__us_1.ogg
approve,B1,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appro/approve__us_2.ogg
architect,B1,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arc/archi/architect__us_1.ogg
area,A2,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/are/area_/area__us_2.ogg
arena,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/are/arena/arena__us_1.ogg
arise,B1,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ari/arise/arise__us_2.ogg
arm,B1,A1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arm/arm__/arm__us_1.ogg
armed,A2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arm/armed/armed__us_1.ogg
army,B1,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arm/army_/army__us_2.ogg
arrange,B1,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arran/arrange__us_2.ogg
arrangement,B1,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arran/arrangement__us_1.ogg
arrow,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arrow/arrow__us_1.ogg
articulate,B2,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/artic/articulate__us_1.ogg
artificial,A2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/artif/artificial__us_3.ogg
artist,B1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/artis/artist__us_1.ogg
artistic,B1,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/artis/artistic__us_2.ogg
as,A1,A2,preposition,"adverb, conjunction, preposition",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as__u/as__us_1_rr.ogg
ash,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ash/ash__/ash__us_2.ogg
ashamed,B1,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ash/asham/ashamed__us_2.ogg
