word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
begin,A1,A1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/beg/begin/begin__us_1.ogg
behind,A1,A1,preposition,"adverb, preposition",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/beh/behin/behind__us_2.ogg
belief,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bel/belie/belief__us_1.ogg
believe,A1,A1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bel/belie/believe__us_1.ogg
belong,A2,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bel/belon/belong__us_6.ogg
below,A1,A1,preposition,"adverb, preposition",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bel/below/below__us_1.ogg
belt,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bel/belt_/belt__us_1.ogg
beneficial,B2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ben/benef/beneficial__us_1.ogg
best,A1,A1,adverb,"adjective, adverb, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bes/best_/best__us_1.ogg
bicycle,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bic/bicyc/bicycle__us_1.ogg
bid,B2,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bid/bid__/bid__us_1.ogg
big,A1,A1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/big/big__/big__us_1.ogg
bike,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bik/bike_/bike__us_1.ogg
biological,B2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bio/biolo/biological__us_1.ogg
bird,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bir/bird_/bird__us_1.ogg
birthday,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bir/birth/birthday__us_1.ogg
bit,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bit/bit__/bit__us_1.ogg
bite,B1,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bit/bite_/bite__us_1.ogg
black,A1,A1,noun,"adjective, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bla/black/black__us_1.ogg
block,B1,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/blo/block/block__us_1.ogg
blood,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/blo/blood/blood__us_1.ogg
blue,A1,A1,noun,"adjective, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/blu/blue_/blue__us_1.ogg
boat,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/boa/boat_/boat__us_1.ogg
body,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bod/body_/body__us_2.ogg
boil,A2,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/boi/boil_/boil__us_1.ogg
bold,B2,B2,noun,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bol/bold_/bold__us_1.ogg
bomb,B1,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bom/bomb_/bomb__us_1.ogg
bombing,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bom/bombi/bombing__us_1.ogg
boost,B2,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/boo/boost/boost__us_1.ogg
border,B1,B1,noun,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bor/borde/border__us_1.ogg
boring,A1,A1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bor/borin/boring__us_1.ogg
boss,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bos/boss_/boss__us_8.ogg
both,A1,A1,pronoun,"determiner, pronoun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bot/both_/both__us_1.ogg
box,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/box/box__/box__us_1.ogg
boy,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/boy/boy__/boy__us_1.ogg
boyfriend,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/boy/boyfr/boyfriend__us_2.ogg
branch,B1,B1,verb,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bra/branc/branch__us_1.ogg
bread,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bre/bread/bread__us_1.ogg
break,A1,A1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bre/break/break__us_1.ogg
breakfast,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bre/break/breakfast__us_1.ogg
breath,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bre/breat/breath__us_1.ogg
brilliant,A2,A2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bri/brill/brilliant__us_1.ogg
bring,A1,A1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bri/bring/bring__us_1.ogg
broadcast,B2,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bro/broad/broadcast__us_1.ogg
broadcaster,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bro/broad/broadcaster__us_1.ogg
broadly,B2,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bro/broad/broadly__us_1.ogg
brother,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bro/broth/brother__us_2.ogg
bubble,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bub/bubbl/bubble__us_3.ogg
build,A1,A1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bui/build/build__us_1.ogg
building,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bui/build/building__us_3.ogg
bus,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bus/bus__/bus__us_1.ogg
business,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bus/busin/business__us_4.ogg
businessman,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bus/busin/businessman__us_1_rr.ogg
