rank,word,pos,cefr,frequency,zipf
414,deal,"noun, verb",B1,0.000209,5.32
415,rather,adverb,A2,0.000209,5.32
416,reason,noun,A1,0.000209,5.32
417,red,"adjective, noun",A2,0.000209,5.32
418,report,"noun, verb",B1,0.000209,5.32
419,soon,adverb,A1,0.000209,5.32
420,third,adjective,A2,0.000209,5.32
421,turn,"noun, verb",A1,0.000209,5.32
422,whether,conjunction,B1,0.000209,5.32
423,among,preposition,A2,0.000204,5.31
424,check,"noun, verb",A2,0.000204,5.31
425,development,noun,B1,0.000204,5.31
426,form,"noun, verb",B1,0.000204,5.31
427,further,"adjective, adverb",B1,0.000204,5.31
428,heart,noun,A1,0.000204,5.31
429,myself,pronoun,A2,0.000204,5.31
430,yourself,pronoun,A1,0.000204,5.31
431,right-hand,adjective,A2,0.000201,5.3
432,act,"noun, verb",B1,0.0002,5.3
433,although,conjunction,A2,0.0002,5.3
434,child,noun,A1,0.0002,5.3
435,fire,"noun, verb",B2,0.0002,5.3
436,fun,"adjective, noun",A1,0.0002,5.3
437,living,"adjective, noun",B2,0.0002,5.3
438,major,"adjective, noun",B2,0.0002,5.3
439,media,noun,B2,0.0002,5.3
440,phone,"noun, verb",A1,0.0002,5.3
441,well-known,adjective,A2,0.0002,5.3
442,art,noun,A1,0.000195,5.29
443,behind,"adverb, preposition",A1,0.000195,5.29
444,building,noun,A1,0.000195,5.29
445,easy,adjective,A1,0.000195,5.29
446,market,"noun, verb",B1,0.000195,5.29
447,near,"adjective, adverb, preposition",A1,0.000195,5.29
448,plan,"noun, verb",B1,0.000195,5.29
449,political,adjective,A2,0.000195,5.29
450,quite,adverb,A2,0.000195,5.29
451,six,number,A1,0.000195,5.29
452,west,"adjective, adverb, noun",A2,0.000195,5.29
453,second person,noun,B2,0.000194,5.29
454,available,adjective,B1,0.000191,5.28
455,education,noun,A2,0.000191,5.28
456,final,"adjective, noun",A2,0.000191,5.28
457,former,adjective,B1,0.000191,5.28
458,front,"adjective, noun",A2,0.000191,5.28
459,list,"noun, verb",B2,0.000191,5.28
460,ready,adjective,A1,0.000191,5.28
461,sometimes,adverb,B1,0.000191,5.28
462,son,noun,A1,0.000191,5.28
463,street,noun,A1,0.000191,5.28
464,according to,preposition,B1,0.000189,5.28
465,bring,verb,A1,0.000186,5.27
466,college,noun,A1,0.000186,5.27
467,current,adjective,B1,0.000186,5.27
468,example,noun,A1,0.000186,5.27
469,experience,"noun, verb",B1,0.000186,5.27
470,meet,verb,A1,0.000186,5.27
471,type,"noun, verb",B1,0.000186,5.27
472,good morning,interjection,A1,0.000184,5.26
473,baby,noun,A1,0.000182,5.26
474,chance,noun,A2,0.000182,5.26
475,father,noun,A1,0.000182,5.26
476,march,"noun, verb",B1,0.000182,5.26
477,process,"noun, verb",B2,0.000182,5.26
478,song,noun,A1,0.000182,5.26
479,study,"noun, verb",A1,0.000182,5.26
480,word,noun,A1,0.000182,5.26
481,across,"adverb, preposition",A2,0.000178,5.25
482,action,noun,A1,0.000178,5.25
483,clear,"adjective, verb",B1,0.000178,5.25
484,himself,pronoun,A2,0.000178,5.25
485,month,noun,A1,0.000178,5.25
486,outside,"adjective, adverb, noun, preposition",A2,0.000178,5.25
487,self,noun,A1,0.000178,5.25
488,video game,noun,A2,0.000178,5.25
489,board,"noun, verb",B1,0.000174,5.24
490,cost,"noun, verb",A2,0.000174,5.24
491,cut,"noun, verb",A1,0.000174,5.24
492,field,noun,A1,0.000174,5.24
493,instead,adverb,A2,0.000174,5.24
494,main,adjective,B1,0.000174,5.24
495,moment,noun,A1,0.000174,5.24
496,mother,noun,A1,0.000174,5.24
497,road,noun,A2,0.000174,5.24
498,town,noun,A1,0.000174,5.24
499,instead of,preposition,B1,0.000173,5.24
500,department,noun,B1,0.00017,5.23
501,energy,noun,B2,0.00017,5.23
502,fight,"noun, verb",B1,0.00017,5.23
503,fine,"adjective, adverb, noun, verb",B2,0.00017,5.23
504,force,"noun, verb",B2,0.00017,5.23
505,hear,verb,A1,0.00017,5.23
506,issue,"noun, verb",B2,0.00017,5.23
507,price,"noun, verb",B2,0.00017,5.23
508,'re,be-verb,A1,0.00017,5.23
